ID,Groups,Description,Baseline [06-21 20:51]
,ReflectionGenerator - Code Generation Integration > output configuration,getOutputPath returns configured output,OK/OK
,ReflectionGenerator - Code Generation Integration > output configuration,getOutputPath returns default when not configured,OK/OK
,ReflectionGenerator - Code Generation Integration > import generation,runtime import uses correct alias,OK/OK
,ReflectionGenerator - Code Generation Integration > declarations section,empty result has declarations structure,OK/OK
,GlobMatcher,matches exact string,OK/OK
,GlobMatcher,matches with * wildcard,OK/OK
,GlobMatcher,matches with ** wildcard,OK/OK
,GlobMatcher,matches with ? wildcard,OK/OK
,GlobMatcher,matches dart SDK packages,OK/OK
,GlobMatcher,escapes regex special characters,OK/OK
,GlobMatcher,handles prefix wildcards,OK/OK
,AnnotationPattern,parses short name,OK/OK
,AnnotationPattern,parses qualified name with package URI,OK/OK
,AnnotationPattern,parses short name with hash,OK/OK
,AnnotationPattern,parses annotation with field matchers,OK/OK
,AnnotationPattern,parses @ prefix annotation,OK/OK
,FilterMatcher > matchesPackage,matches exact package,OK/OK
,FilterMatcher > matchesPackage,matches wildcard packages,OK/OK
,FilterMatcher > matchesPackage,returns false when no packages specified,OK/OK
,FilterMatcher > matchesPath,matches glob patterns,OK/OK
,FilterMatcher > matchesTypeName,matches type patterns,OK/OK
,FilterMatcher > matchesElement,matches exact element identifiers,OK/OK
,FilterMatcher > hasSelectors,returns false when no selectors,OK/OK
,FilterMatcher > hasSelectors,returns true when has packages,OK/OK
,FilterMatcher > hasSelectors,returns true when has annotations,OK/OK
,FilterMatcher > isInclude,reflects filter type,OK/OK
,DefaultsMatcher,detects excluded packages,OK/OK
,DefaultsMatcher,detects included packages,OK/OK
,InclusionResolver,creates from config,OK/OK
,InclusionResolver,defaults matcher is accessible,OK/OK
,InclusionResolver,filters are ordered,OK/OK
ANZ-TOOL-1,ANZ-TOOL: Analyzer ToolDefinition,has correct name and mode,OK/OK
ANZ-TOOL-2,ANZ-TOOL: Analyzer ToolDefinition,has project traversal enabled,OK/OK
ANZ-TOOL-3,ANZ-TOOL: Analyzer ToolDefinition,has expected global options,OK/OK
ANZ-TOOL-4,ANZ-TOOL: Analyzer ToolDefinition,has version info,OK/OK
REF-TOOL-1,REF-TOOL: Reflector ToolDefinition,has correct name and mode,OK/OK
REF-TOOL-2,REF-TOOL: Reflector ToolDefinition,has project traversal enabled,OK/OK
,ReflectionAnalysisResult,typeCount sums all type categories,OK/OK
REF-TOOL-3,REF-TOOL: Reflector ToolDefinition,has expected global options,OK/OK
REF-TOOL-4,REF-TOOL: Reflector ToolDefinition,entry option is multi-valued,OK/OK
ANZ-EXE-1,ANZ-EXE: Analyzer Executor,createAnalyzerExecutors returns default executor,OK/OK
,ReflectionAnalysisResult,globalMemberCount sums functions and variables,OK/OK
ANZ-EXE-2,ANZ-EXE: Analyzer Executor,skips project without buildkit.yaml config,OK/OK
,,LibraryInfo exposes source files,OK/OK
ANZ-EXE-3,ANZ-EXE: Analyzer Executor,skips project without analyzer section,OK/OK
,,LibraryInfo aggregates type declarations,OK/OK
ANZ-EXE-4,ANZ-EXE: Analyzer Executor,lists project in listOnly mode,OK/OK
,,ImportInfo and ExportInfo track libraries,OK/OK
REF-EXE-1,REF-EXE: Reflector Executor,createReflectorExecutors returns default executor,OK/OK
REF-EXE-2,REF-EXE: Reflector Executor,skips project without buildkit.yaml config,OK/OK
REF-EXE-3,REF-EXE: Reflector Executor,skips project without reflector section,OK/OK
REF-EXE-4,REF-EXE: Reflector Executor,lists project in listOnly mode,OK/OK
ANZ-RUN-1,ANZ-RUN: Analyzer ToolRunner integration,--help exits successfully,OK/OK
ANZ-RUN-2,ANZ-RUN: Analyzer ToolRunner integration,--version exits successfully,OK/OK
,ReflectionGenerator - Performance Tests > generator efficiency,reusing generator is efficient,OK/OK
,,query APIs find elements,OK/OK
,,getClassOrThrow throws not found,OK/OK
,,getClassOrThrow throws on ambiguous,OK/OK
,,generic findElementsWithAnnotation finds classes,OK/OK
,,FunctionInfo is static by default,OK/OK
,,ConstructorInfo uses declaring type library,OK/OK
,,SetterInfo exposes parameter list,OK/OK
,,ClassInfo exposes static members,OK/OK
,,EnumInfo contains values,OK/OK
,,ExtensionInfo captures extended type,OK/OK
,,analysis result navigates object graph,OK/OK
,,type declarations extend base hierarchy,OK/OK
,,executables extend executable element,OK/OK
,,variables extend variable element,OK/OK
,,container elements extend base element,OK/OK
,,ElementNotFoundException formats message,OK/OK
,,AmbiguousElementException formats candidates,OK/OK
,,SourceLocation holds offsets,OK/OK
,,AnnotationInfo captures arguments,OK/OK
,,ArgumentValue stringifies null,OK/OK
,,TypeParameterInfo stores variance,OK/OK
,,ParameterInfo tracks required flags,OK/OK
,,sealed element switch is exhaustive,OK/OK
,,TypeReference resolves as class,OK/OK
,,TypeReference matchResolved selects branch,OK/OK
,,TypeReference unresolved branch returns default,OK/OK
,,VariableInfo is static by default,OK/OK
,,FieldInfo can be instance member,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers User class,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers TrackedUser class,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers Entity abstract class,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers Repository generic class,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers Trackable mixin,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers UserRole enum,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers StringUtils extension,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers greet global function,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers appVersion global variable,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers requestCounter global variable,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,result has correct type count,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,result has correct global member count,OK/OK
,ReflectionGenerator - Performance Tests > analysis performance,analyzes small fixture in reasonable time,OK/OK
RANZ-OUT-1,RANZ-OUT: Reflection Analyzer output writing,creates the output parent dir when it does not exist,OK/OK
REF-RUN-1,REF-RUN: Reflector ToolRunner integration,--help exits successfully,OK/OK
REF-RUN-2,REF-RUN: Reflector ToolRunner integration,--version exits successfully,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code imports the fixture library,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code contains User type reference,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code contains UserRole type reference,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code contains Trackable type reference,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code has constructor invokers,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code has method references,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code is syntactically valid,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code length is reasonable,OK/OK
,ReflectionGenerator - End-to-End Tests > multiple entry points,generator handles single entry point,OK/OK
,ReflectionGenerator - End-to-End Tests > multiple entry points,generator returns empty for non-existent entry point,OK/OK
,ReflectionGenerator - Performance Tests > analysis performance,analysis time scales reasonably with type count,OK/OK
,ReflectionGenerator - End-to-End Tests > library metadata,result contains library types mapping,OK/OK
,ReflectionGenerator - Performance Tests > code generation performance,generates code in reasonable time for small fixture,OK/OK
,ReflectionGenerator - End-to-End Tests > library metadata,result contains classes from entry point,OK/OK
ANZ-RUN-3,ANZ-RUN: Analyzer ToolRunner integration,--list scans projects,OK/OK
,ReflectionGenerator - Performance Tests > code generation performance,generated code size is proportional to type count,OK/OK
,ReflectionGenerator - Performance Tests > large codebase performance (UAM Server),generates code for aa_server_start.dart,-/OK
,ReflectionGenerator - Performance Tests > large codebase performance (UAM Server),memory usage is reasonable,-/OK
,ReflectionGenerator - Performance Tests > large codebase performance (UAM Server),analyzes aa_server_start.dart entry point,-/OK
